名称,状态,最优步数,类型
new8961,18651668850037660L,66,28
new4074,3959980281877406L,6,30
new5393,18088718896616348L,67,28
new10649,18370193873327004L,67,28
new4162,3678505305166750L,7,30
new9068,3669690488811420L,9,28
new2701,19214618803458972L,68,28
new3857,3951165465456540L,5,28
new378,3949499044425616L,8,16
new4679,3951165465522076L,8,28
new1950,3669690489270172L,5,28
new2873,90283996656542L,78,30
new3213,3949499044949904L,7,16
new5840,21409762727216732L,5,28
new1630,3942077314656080L,2,16
new2775,21411927406462296L,5,24
new3641,3943487860691870L,7,30
new2949,3395930835178398L,6,30
new1445,3660602338469712L,2,16
new8536,12967167725474716L,0,28
new1023,9097482714518430L,79,30
new11744,21693408809337976L,7,24
new1631,3942077314656112L,3,16
new3321,21974883785524344L,-1,24
new1446,3660602338469744L,3,16
new4058,21973827936620958L,2,30
new4513,3959705412359070L,5,30
new4107,21973827936686494L,-1,30
new2876,3941836796487516L,2,28
new3351,22010128228704412L,-1,28
new11909,18651669952991644L,57,28
new3880,18025440443755672L,-1,24
new1895,19713225151016848L,22,16
new2339,21973827936424350L,-1,30
new652,18104681951957662L,75,30
new7673,21412009757446556L,12,28
new8898,3660361820301148L,2,28
new2220,19713259510755216L,22,16
new11788,20866635044893596L,-1,28
new248,21965015738010014L,-1,30
new11468,21993050172302748L,-1,28
new9301,3950890596528028L,7,28
new6752,21683540778076318L,-1,30
new4800,21973827937735070L,-1,30
new11298,22029266594304408L,8,24
new4808,21692352961024414L,-1,30
new5791,22001236387638680L,20,24
new2315,21973827937472926L,-1,30
new3693,12402811198083998L,0,30
new1788,21975117861012568L,-1,24
new2318,21692352960762270L,-1,30
new1723,22001236388425112L,-1,24
new3341,18025498426567836L,-1,28
new7676,21412009758495132L,12,28
new5039,12402811197297566L,0,30
new11407,22029266594828696L,-1,24
new11022,21693677244040280L,-1,24
new4491,21974951121981852L,-1,28
new1796,21975152220750936L,-1,24
new8962,18651668847940508L,-1,28
new2877,3941836796487548L,3,28
new7762,18651668847874972L,62,28
new10652,18370193871229852L,-1,28
new5034,12402819786970014L,0,30
new12035,18651668847678364L,-1,28
new2595,12402811197035422L,0,30
new6864,18370193870967708L,-1,28
new7829,19707200010523548L,28,28
new746,18370193871688604L,59,28
new8899,3660361820301180L,3,28
new4977,12402811196248990L,0,30
new2470,12402819786183582L,0,30
new10324,18025431871909272L,67,24
new4077,3959980290266014L,5,30
new2878,3941836796487580L,3,28
new4678,3951165473910684L,7,28
new8900,3660361820301212L,3,28
new5902,21693368031823192L,5,24
new6115,21974842991756376L,4,24
new5489,12403086075990942L,0,30
