名称,状态,最优步数,类型
new176,21402580475995968,10,0
new152,21402581549737792,9,0
new420,21437765921826624,8,0
new331,21691203343640128,8,0
new704,21691210591397440,9,0
new18,20284103346382464,13,0
new419,21437765921564480,8,0
new151,21402581549475648,9,0
new175,21402580475733824,10,0
new40,20284102272640640,14,0
new372,20830560625387392,12,0
new656,19149441990750080,-1,0
new379,21956460523317056,7,0
new578,21401480939201920,10,0
new380,21956460523841344,8,0
new213,19150309558087552,-1,0
new459,19185493930176384,-1,0
new210,18024409651048320,-1,0
new241,19149175703039872,-1,0
new456,18059594023137152,-1,0
new442,18297595063791488,-1,0
new445,18060100552126336,-1,0
new212,19150309557825408,-1,0
new458,19185493929914240,-1,0
new211,18024409651310464,-1,0
new457,18059594023399296,-1,0
new198,18024382539329408,-1,0
new237,19150275198349184,-1,0
new234,18024375291309952,-1,0
new217,19149210062778240,-1,0
new233,18024409650524032,-1,0
new443,18297595064315776,-1,0
new446,18060100552716160,-1,0
new236,19150275198087040,-1,0
new226,19150309557366656,-1,0
new230,19149210062516096,-1,0
new235,18024375291572096,-1,0
new460,18297088536833920,-1,0
new528,18023816670572160,-1,0
new461,18297088537096064,-1,0
new276,18023283029798528,-1,0
new194,18024916182724480,-1,0
new261,18023816671096448,-1,0
new405,21437765912913728,6,0
new385,20830560616474496,-1,0
new134,21401480972756800,11,0
new407,21437765913438016,7,0
new168,21401482046498624,10,0
new403,21675260425037632,8,0
new624,21401489294255936,11,0
new742,21675267672794944,9,0
new406,21437765913175872,7,0
new402,21675260424775488,8,0
new386,20830560616998784,11,0
new741,21675267672532800,9,0
new653,19149441982361472,-1,0
new661,19149441983082368,-1,0
new761,18297336024100736,-1,0
new772,18297320454582144,-1,0
new777,19423220361621376,-1,0
new773,18297320454844288,-1,0
new774,19423220361359232,-1,0
new670,18023557630881408,-1,0
new662,18023542078402432,-1,0
new21,21410003253225024,11,0
new41,21410002179483200,12,0
new388,21956460532229952,9,0
new326,20565303436797568,10,0
new703,20565310684554880,9,0
new193,18024916188229504,-1,0
new242,19149210054848384,-1,0
new464,18297088526348160,-1,0
new475,19185493921787776,-1,0
new240,19149175694651264,-1,0
new467,19422988433387392,-1,0
new472,18059594014748544,-1,0
new469,18297088526610304,-1,0
new473,19185493921525632,-1,0
new468,19422988433125248,-1,0
new474,18059594015010688,-1,0
new218,19149175695110016,-1,0
new466,19422988432928640,-1,0
new649,19149174621368192,-1,0
new471,19185493921263488,-1,0
new216,19149210054389632,-1,0
new180,18024916189015936,-1,0
new432,18060100561104768,-1,0
new465,18297088526086016,-1,0
new470,18059594014420864,-1,0
new231,19149210054127488,-1,0
new223,18024409644756864,-1,0
new225,18024409645019008,-1,0
new244,18023310150168448,-1,0
new436,18297595074801536,-1,0
new268,18023816679485056,-1,0
new222,18023275790430080,-1,0
new651,18023274716688256,-1,0
new376,21691203343640384,8,0
new728,21691210591397696,9,0
new78,20284103346382720,13,0
new102,20284102272640896,14,0
new344,20830560625387136,12,0
new187,21956460523316800,6,0
new575,21401480939201664,9,0
new333,21956460523841088,9,0
new320,18297595063791232,-1,0
new321,18060100552126080,-1,0
new281,18024382539329152,-1,0
new463,19422988458094464,-1,0
new483,18297595064315520,-1,0
new485,18060100552715904,-1,0
new227,19150309574143872,-1,0
new214,18023310141517696,-1,0
new190,18023816670572416,-1,0
new215,18023310141779840,-1,0
new200,18023283029798784,-1,0
new238,18023275781779328,-1,0
new191,18023816671096704,-1,0
new263,18024916182724224,-1,0
new239,18023275782041472,-1,0
new315,20830560616474240,-1,0
new135,21402580484384576,10,0
new169,21402581558126400,9,0
new429,21437765930215232,8,0
new428,21675260441814848,9,0
new754,21675267689572160,10,0
new329,20830560616998528,11,0
new782,18297336024100480,-1,0
new778,19423220378398592,-1,0
new635,18023557630881664,-1,0
new652,18023542061363072,-1,0
new779,18297320473718656,-1,0
new650,18023542061625216,-1,0
new98,21410003253225280,10,0
new123,21410002179483456,11,0
new345,21956460532229696,10,0
new382,20565303436797824,10,0
new731,20565310684555136,9,0
new529,18024916188229248,-1,0
new243,19150309566476160,-1,0
new477,19185493938564992,-1,0
new476,19422988450164608,-1,0
new219,19150275206737792,-1,0
new462,19422988449705856,-1,0
new269,18024916189015680,-1,0
new491,18060100561104512,-1,0
new224,19150309565755264,-1,0
new221,18023310133129088,-1,0
new478,18297088545484672,-1,0
new220,18023310133391232,-1,0
new245,18024409661796224,-1,0
new479,18059594033885056,-1,0
new229,19149210039709568,-1,0
new490,18297595074801280,-1,0
new184,18023816679485312,-1,0
new228,18023310132866944,-1,0
new232,18024375302057856,-1,0
new36,21410002179482752,7,0
new32,20284102272640128,8,0
new606,19149441990749568,-1,0
new73,21402580484383872,7,0
new572,21401489294255488,11,0
new717,21675267672794496,8,0
new567,21675267672532352,7,0
new271,18023283029798016,-1,0
new512,18023275781778560,-1,0
new302,18023275782040704,-1,0
new62,21401482046498112,9,0
new74,21401480972756288,10,0
new51,21402581558125632,7,0
new607,21401480939202368,12,0
new353,21675260425037120,8,0
new54,21675260424774976,7,0
new739,19149441982360960,-1,0
new616,19149441983081856,-1,0
new685,18297320454581632,-1,0
new781,18297336024100224,-1,0
new745,19423220361620864,-1,0
new790,18297320454843776,-1,0
new608,19423220361358720,-1,0
new688,18023542078401920,-1,0
new7,21410003253224512,7,0
new2,20284103346381888,8,0
new167,19150275206737024,-1,0
new627,19149174621367680,-1,0
new305,18024375302057088,-1,0
new693,18023274716687744,-1,0
new50,21402581549737024,6,0
new330,21691203343639872,7,0
new349,21402581549474880,5,0
new325,20565303436797248,8,0
new70,21401480972756096,8,0
new722,21675267689571712,12,0
new165,19149175703039104,-1,0
new274,18024382539328640,-1,0
new166,19150275198348416,-1,0
new513,18024375291309184,-1,0
new425,19150275198086272,-1,0
new304,18024375291571328,-1,0
new48,21401482046497856,8,0
new362,21675260441814336,10,0
new564,21401489294255168,9,0
new751,19423220378398080,-1,0
new669,18023557630881152,-1,0
new786,18023542061362560,-1,0
new794,18297320473718144,-1,0
new683,18023542061624704,-1,0
new72,21402580475995264,6,0
new705,21691210591397248,7,0
new371,21402580475733120,5,0
new702,20565310684554624,8,0
new424,19149175694650496,-1,0
new164,19149175695109248,-1,0
new621,19149174621367424,-1,0
new303,18023275790429312,-1,0
new690,18023274716687488,-1,0
new83,21401447695158080,8,0
new82,21401446621432640,10,0
new100,21401447695166272,9,0
new112,21401447695174464,9,0
new124,21401446621424448,10,0
