名称,状态,最优步数,类型
new108,2272162087232664L,-1,24
new4441,3397821476168792L,8,24
new13859,3395622452913752L,-1,24
new72873,18104957735576728L,-1,24
new81136,1145815528170904L,-1,24
new69470,21396540887951192L,45,24
new85245,20280227951315864L,-1,24
new47358,400833309125528L,78,24
new95607,9407447335266456L,76,24
new98422,20280227951578008L,-1,24
new64655,21411927406462296L,5,24
new70315,21466874198648664L,104,24
new92268,20280227951840152L,-1,24
new52142,12475351893304440L,0,24
new41525,11276629751424664L,3,24
new38502,12405003551040600L,0,24
new44745,12402804527785560L,0,24
new30673,9090790182407064L,61,24
new46964,3669132153810840L,8,24
new47066,3669097794072472L,7,24
new100717,12475077023786136L,0,24
new15472,9407448456702872L,73,24
new3698,3398062017930584L,6,24
new11320,3669896647241624L,4,24
new25362,2309818178355352L,92,24
new60103,3397546613990744L,6,24
new71657,20315152427788440L,31,24
new3696,3398062018192728L,6,24
new24950,84415552736152L,71,24
new3669,3669896647765912L,5,24
new9148,21482284331320472L,-1,24
new14685,10533347281431416L,85,24
new64707,18027964265695832L,39,24
new1675,3397546613728600L,7,24
new7518,3669896647503768L,5,24
new40645,401065237359512L,79,24
new67728,21502341484930648L,98,24
new85473,18104957727188088L,-1,24
new37304,1145815519782264L,-1,24
new34965,12405244093064536L,0,24
new7722,18414629410138264L,86,24
new30057,11273045876706200L,36,24
new29432,12404728688862552L,0,24
new34645,12405243019044184L,0,24
new34972,12405244092802392L,0,24
new41849,11273045876444056L,35,24
new47307,400833317514104L,77,24
new35022,12404728688600408L,0,24
new38594,10147145969601432L,36,24
new64709,18027964265695864L,38,24
new73472,21482559200838776L,-1,24
new30420,3470077807306616L,-1,24
new15821,11273045876968344L,36,24
new47312,400798957775736L,76,24
new76896,18098264289102456L,80,24
new85360,18104957727188120L,-1,24
new80198,1145815519782296L,-1,24
new4471,2272162111350168L,-1,24
new15240,3669132143325080L,6,24
new60438,84140683479960L,76,24
new4476,2272162111088024L,-1,24
new33377,3435718085197912L,71,24
new47305,400833317514136L,77,24
new64631,21411927414850904L,5,24
new65541,20376441578088088L,-1,24
new73177,2590475786457496L,-1,24
new76599,21482559200838808L,-1,24
new40647,401065237359448L,80,24
new3670,3669132143062936L,5,24
new47311,400798957775768L,76,24
new47543,9091614790175352L,57,24
new98189,11562490133287320L,18,24
new29930,11272771007187864L,38,24
new34611,12405517888562520L,0,24
new36785,3669097785421720L,5,24
new41774,11272771006925720L,39,24
new68985,400797836339352L,77,24
new14683,10533347281431448L,84,24
new19990,11272771007712152L,-1,24
new47060,3669097785683864L,6,24
new80617,18097989419846264L,78,24
new105091,21482284331320440L,-1,24
new40646,401065237359480L,79,24
new12856,3395347583395416L,4,24
new90083,21412717664715864L,4,24
new15104,20569689387504024L,23,24
new7341,3398061994075224L,5,24
new77239,21410553001199192L,3,24
new60917,3397546622379352L,7,24
new85054,21412717680444760L,3,24
new85069,20279953081797528L,-1,24
new97902,21719778582408600L,7,24
new85055,21412717680182616L,3,24
new98315,20279953082059672L,-1,24
new99841,20596077698821016L,52,24
new65430,18025490901413016L,69,24
new1151,12475077023786104L,0,24
new1832,3397546622117208L,7,24
new15474,9407448456702840L,73,24
new71928,18025474795302040L,-1,24
new93957,20279953082583960L,-1,24
new104274,21719778583195032L,7,24
new38853,12405244068947032L,0,24
new45094,12402529658267224L,0,24
new69741,18104957735576696L,-1,24
new38199,1145815528170872L,-1,24
new30532,12404728697251160L,0,24
new47359,400833309125496L,78,24
new730,3470077798655608L,-1,24
new35124,12404728696989016L,0,24
new36696,3669896658251672L,7,24
new99764,21676897816088984L,6,24
new670,3470077798917752L,-1,24
new40270,3669896657989528L,7,24
new55396,12475351893304472L,0,24
new99760,21676897816351128L,5,24
new6755,2272162087232920L,-1,24
new13981,3395622452914008L,-1,24
new85441,20280227935849368L,-1,24
new85265,20280227936111512L,-1,24
new61212,3397821491897432L,10,24
new8346,2309550548193688L,66,24
new15489,1526697766251416L,96,24
new42810,3669132168490904L,8,24
new42898,3669097808228248L,9,24
new64725,21432291683754328L,-1,24
new97830,18414629435304824L,89,24
new11619,9407447368821656L,74,24
new12774,1254020459794840L,-1,24
new42900,3669097808490392L,8,24
new4478,3397821491373144L,9,24
new6480,2291993829196696L,65,24
new42904,3669097808752536L,9,24
new75613,2590475778068888L,-1,24
new12872,1254020459270552L,105,24
new42808,3669132168228760L,7,24
new46228,2543197901909912L,10,24
new95623,18414629435042680L,88,24
new41982,11272770983070616L,33,24
new44945,12402804527785816L,0,24
new84136,18104682849281400L,-1,24
new38526,1146090397688952L,-1,24
new41794,11272770983594904L,39,24
new99531,11562490124898712L,19,24
new65098,21432291683754360L,-1,24
new98099,21411933849404536L,7,24
new29195,12405003566769240L,0,24
new34134,12431655130394520L,0,24
new43938,400797861505944L,76,24
new3037,10533347273042840L,84,24
new40577,400797861243800L,75,24
new98659,21482267160102008L,-1,24
new38518,12405003566244952L,0,24
new41063,12431655130918808L,0,24
new14565,20569689379115416L,24,24
new74224,18104682857670040L,-1,24
new85442,20279953057942424L,-1,24
new82043,1146090406077592L,-1,24
new85090,20279953058466712L,-1,24
new7544,3398062017930328L,6,24
new14270,2292225757430680L,64,24
new32165,2309818178355608L,93,24
new12319,12404735131542648L,0,24
new72898,20315152461343640L,43,24
new97246,21719778574019992L,7,24
new50637,3398062018192472L,6,24
new43936,400797869894520L,78,24
new69138,21438853344931224L,4,24
new99427,20596077690432408L,52,24
new64713,18027955675761496L,60,24
new12809,12475068442240120L,0,24
new64684,18028239143603096L,57,24
new80605,18097989419846552L,77,24
new64046,21502341484930904L,98,24
new67250,21412202284106840L,7,24
new47352,400798957775448L,80,24
new72836,21719778574806424L,7,24
new85881,21502884269524824L,96,24
new41961,11273045860977560L,34,24
new41864,11273045861239704L,35,24
new16631,12405244093064280L,0,24
new15488,1526697774639992L,97,24
new56804,84140683479672L,77,24
new97828,18414629443693464L,90,24
new38657,12405244092802136L,0,24
new39437,12405517888562328L,0,24
new11618,9407447360433016L,74,24
new36697,3669896666640280L,7,24
new64714,18027955675761528L,60,24
new7771,9407447360170872L,73,24
new30635,3470077807306360L,-1,24
new47548,9091614790175640L,64,24
new98439,20280227944500120L,-1,24
new14273,2292225757430616L,63,24
new61611,3397821500286040L,9,24
new82856,2272162111349912L,-1,24
new15492,1526697774640024L,96,24
new64728,21432291675365720L,-1,24
new97833,18414629443693432L,90,24
new432,2272162111087768L,-1,24
new27597,3435718085198168L,70,24
new8278,3387657183588248L,7,24
new11617,9407447360433048L,73,24
new63681,21432257315365208L,-1,24
new72172,1254020468183448L,-1,24
new4735,3397821499761752L,9,24
new64712,18027955675761560L,59,24
new66584,20376441578088344L,-1,24
new6488,2291993829196568L,65,24
new7769,9407447360170904L,72,24
new38588,10147145969601144L,38,24
new64711,18027964265696152L,58,24
new63673,21432291675103576L,-1,24
new76897,18098264289102744L,82,24
new74233,18104682857670008L,-1,24
new39021,1146090406077560L,-1,24
new29952,11272770991983512L,38,24
new14274,2292225757430648L,64,24
new65099,21432291675365752L,-1,24
new73047,20315152427788664L,32,24
new107149,12404735131542680L,0,24
new30134,12405003575157848L,0,24
new39412,12405243019043992L,0,24
new24951,84415552735864L,73,24
new43944,400797869894552L,77,24
