名称,状态,最优步数,类型
new0,567428112804760L,47,24
new1,11879132342348664L,-1,24
new2,2534985899447192L,-1,24
new4,2534985899469976L,-1,24
new5,21956734336411800L,18,24
new6,21956734335936664L,18,24
new7,567428112804728L,48,24
new16,567428112805784L,46,24
new17,13002833218243448L,0,24
new20,1429108592890776L,-1,24
new21,13002833218251672L,0,24
new23,1429108593341080L,-1,24
new24,13002833218251640L,0,24
new25,2272162111066520L,-1,24
new26,13002833218243480L,0,24
new27,2272162087735704L,-1,24
new28,1780685220205464L,-1,24
new29,13002833184697240L,0,24
new31,13002833184697208L,0,24
new32,92122066242200L,-1,24
new34,2265837763339416L,89,24
new39,92122066242456L,-1,24
new45,92122066470488L,97,24
new50,1420312500351896L,-1,24
new52,13002833217810328L,0,24
new57,13002833217548184L,0,24
new60,13002833184255896L,0,24
new61,2262540302215320L,18,24
new65,4069019041188696L,97,24
new67,20550997924533144L,-1,24
new72,20550997924795288L,-1,24
new75,4068493704612696L,98,24
new77,1817236466044056L,79,24
new80,1420312500319128L,-1,24
new81,2534985899545496L,-1,24
new83,1139716674611032L,-1,24
new84,1420312500333976L,-1,24
new85,11843966207298424L,59,24
new91,11843966207312984L,-1,24
new92,673762610269080L,-1,24
new93,2272167455765144L,-1,24
new94,11843966207297944L,31,24
new96,20268125002437528L,11,24
new97,2272167456248216L,-1,24
new99,20847849713799832L,12,24
new101,20268125002437272L,11,24
new105,1427994585904024L,-1,24
new106,1427994585918872L,-1,24
new107,2272162111071384L,-1,24
new108,2272162087232664L,-1,24
new110,3962942232013688L,-1,24
new111,2272162087211416L,-1,24
new112,3962933876960120L,-1,24
new113,20847849713578648L,12,24
new114,3951424513813144L,9,24
new115,3962933876959864L,-1,24
new121,21719779623309720L,6,24
new122,20280226844545944L,44,24
new123,1430208104975768L,-1,24
new124,1430208104754584L,-1,24
new125,1781784731832184L,-1,24
new127,21956758729986456L,-1,24
new131,21956758729993368L,-1,24
new133,11550431784309144L,5,24
new138,2262540287283864L,18,24
new140,2309551622483096L,-1,24
new141,21956734302851480L,20,24
new142,21956734302884248L,20,24
new144,2272167455920792L,7,24
new153,3961834365332376L,-1,24
new154,21956758730019224L,-1,24
new155,21957266308960664L,-1,24
new156,392253845105304L,68,24
new157,3960737070090584L,8,24
new158,3961834365332120L,-1,24
new159,1430209178429848L,39,24
new160,1430209178430872L,39,24
new162,3960737069828440L,7,24
new163,2272436980597912L,-1,24
new166,92122066470552L,-1,24
new167,2269997424251288L,-1,24
new169,2269997424218520L,-1,24
new171,2262541360785560L,14,24
new173,12405249729982360L,0,24
new174,11588914683579544L,30,24
new176,13003100579965848L,0,24
new178,21465783537832344L,-1,24
new179,13003100579965816L,0,24
new183,2300755529536408L,-1,24
new186,21465784618619288L,7,24
new188,2265570386167960L,72,24
new194,1147378351238040L,-1,24
new202,13003100579524504L,0,24
new204,2262575736423576L,14,24
new205,11260676110651800L,4,24
new206,1145806669801368L,-1,24
new207,2300755529438104L,-1,24
new208,11260676088672920L,7,24
new210,21438854393598360L,-1,24
new213,11260675039007128L,4,24
new214,2300755529460888L,-1,24
new215,1145806669801336L,-1,24
new218,12405249730710424L,0,24
new219,20551797862192024L,-1,24
new221,20551797862454168L,-1,24
new222,12405249730710392L,0,24
new223,1147378351237016L,-1,24
new227,1147378351236952L,38,24
new230,21675791332250008L,-1,24
new236,20268133323944600L,12,24
new238,21675791347920024L,2,24
new239,92122066470808L,-1,24
new241,20268133323944856L,12,24
new244,2291958371151512L,-1,24
new245,2291958362755992L,-1,24
new246,1430209178725784L,-1,24
new247,2291958362762904L,-1,24
new248,2291958371144600L,-1,24
new251,1430208104983960L,-1,24
new257,1420312499868568L,-1,24
new258,3961868725259160L,-1,24
new259,1420312500318872L,-1,24
new260,2269997423716504L,-1,24
new261,1420312500351640L,-1,24
new263,2269997423715480L,-1,24
new265,2291958362788760L,-1,24
new266,3961868725258904L,-1,24
new267,2291958371177368L,-1,24
new270,2269997423694232L,10,24
new271,3714996228326744L,10,24
new272,21438854394024344L,11,24
new273,1427994586231704L,-1,24
new278,21403645644695704L,-1,24
new279,567428381461144L,44,24
new283,3962976591940472L,-1,24
new286,12949559508544408L,0,24
new287,1816969104083064L,-1,24
new288,1817236465805432L,-1,24
new289,3962968236886904L,-1,24
new290,12949559508544376L,0,24
new291,1816969104091256L,-1,24
new292,92970322513784L,78,24
new293,3962968236886648L,-1,24
new294,1817236465795192L,-1,24
new296,10137587260647800L,-1,24
new297,1429108593341336L,-1,24
new299,2816460876256152L,-1,24
new301,673762610268824L,-1,24
new304,1144088684228504L,20,24
new306,10436590244294040L,-1,24
new307,20549898211840920L,-1,24
new309,3388757777115032L,6,24
new310,9169954179992440L,-1,24
new311,3942857909791640L,5,24
new315,12668600750229624L,0,24
new316,2414537022695000L,90,24
new317,3942857909791608L,5,24
new319,12396445819506584L,0,24
new322,12668599661062264L,0,24
new327,2924710342519704L,-1,24
new325,1780685220188824L,-1,24
new328,20831356009100184L,7,24
new329,20886332620942488L,64,24
new332,3468968338451352L,-1,24
new333,1780685220189080L,-1,24
new335,21693374172795288L,6,24
new337,10426694639178648L,-1,24
new339,10426694639628952L,-1,24
new340,10426694639661720L,-1,24
new342,11553695959911576L,31,24
new343,9398652315987608L,78,24
new346,12431655172836248L,0,24
new348,12431655172836216L,0,24
new349,9398652315980696L,79,24
new351,1780685220351128L,82,24
new354,1817255802062424L,75,24
new355,20549898480014232L,-1,24
new356,21395947922450840L,-1,24
new357,21676925203583384L,7,24
new359,1817255793673816L,75,24
new360,11260676110652056L,4,24
new361,21395947922450584L,-1,24
new362,20358566016247192L,-1,24
new364,12950056669375352L,0,24
new366,11260675039007384L,4,24
new367,2309551622558104L,-1,24
new370,2309551622459800L,-1,24
new371,12950056669375384L,0,24
new372,2942311143360920L,-1,24
new373,2942312217585048L,-1,24
new375,1781784731831448L,-1,24
new377,2414536947231608L,92,24
new378,2265571483764888L,76,24
new379,21676925219285144L,-1,24
new380,3470067909847928L,75,24
new382,2942311143843224L,-1,24
new383,2942312217322904L,-1,24
new385,12431655172140952L,0,24
new386,2265570386471064L,78,24
new387,1781784731839640L,-1,24
new388,2265571460205720L,79,24
new390,21956734336428184L,-1,24
new391,21957265839679640L,-1,24
new392,10700449974185880L,44,24
new393,12950056669376408L,0,24
new394,21956734302873752L,-1,24
new396,10435490732651416L,-1,24
new398,12668599661021304L,0,24
new402,12668600750228600L,0,24
new405,12668599661029496L,0,24
new406,12668600734763128L,0,24
new410,21403644302518680L,-1,24
new415,2414828786838392L,-1,24
new416,21684595259380120L,10,24
new417,2854635636000664L,-1,24
new418,2414828753283960L,-1,24
new419,2854360766008216L,33,24
new421,2414545528777592L,-1,24
new422,2854627280947096L,-1,24
new423,3470076491393912L,-1,24
new424,1816969104418936L,-1,24
new425,2863423415183512L,-1,24
new428,2933790994076568L,-1,24
new430,3468978287290264L,-1,24
new431,21465784619115672L,-1,24
new432,2272162111087768L,-1,24
new434,2933789920334744L,-1,24
new435,20315403968877464L,44,24
new436,2828239019763864L,-1,24
new437,3468977213548440L,-1,24
new438,2828237946022040L,-1,24
new439,12950067121809528L,0,24
new443,2898605639787672L,-1,24
new444,12475077040071800L,0,24
new445,2889817843593112L,-1,24
new447,20886332620935576L,63,24
new451,2262575744061848L,19,24
new453,21403644570953880L,-1,24
new455,3470086153971576L,-1,24
new457,2262541361025432L,16,24
new458,2262575720501656L,17,24
