名称,状态,最优步数,类型
new2,19142612992716696L,-1,24
new7,21393792712862096L,8,16
new4,21956734327466840L,-1,24
new9,21393792712845104L,8,16
new7,21956734336411800L,18,24
new8,19142612992978840L,-1,24
new9,21956734335936664L,18,24
new15,21393792712861072L,9,16
new11,21956734327481688L,-1,24
new12,19142612985081752L,-1,24
new27,19712391918946704L,-1,16
new0,19158553471290524L,37,28
new15,12405249696395160L,0,24
new16,12405249697223576L,0,24
new35,2885411232608144L,6,16
new1,19158553471291292L,-1,28
new2,21675267672598940L,-1,28
new3,21675267674696092L,7,28
new8,2269446343070110L,-1,30
new48,2885411233698704L,-1,16
new4,21675267672787356L,9,28
new51,19712391918947184L,-1,16
new5,21675267697232284L,-1,28
new9,2269446343004574L,8,30
new57,19712391918947216L,-1,16
new6,12985851084664732L,0,28
new66,2885411233706896L,-1,16
new7,19158553471291036L,-1,28
new10,2269446342325150L,-1,30
new8,12985851085427612L,0,28
new9,20839112728007580L,-1,28
new23,2269996081525407L,7,31
new31,13002833218243448L,0,24
new10,19157962913533820L,18,28
new11,2825264493793692L,8,28
new12,12985850908926876L,0,28
new13,12985850917562268L,0,28
new24,3379394740226911L,-1,31
new35,13002833218251672L,0,24
new26,2269996089750175L,-1,31
new36,20847843573270872L,5,24
new15,2825264493859228L,-1,28
new16,20839112727974812L,-1,28
new81,21393792712894864L,7,16
new17,2825264493114268L,-1,28
new15,2834080349860510L,7,30
new43,20839054745621400L,17,24
new46,13002833218251640L,0,24
new50,13002833218243480L,0,24
new18,19157962913533852L,17,28
new19,12985850908926844L,0,28
new20,12985850917562236L,0,28
new29,3379394740226975L,-1,31
new57,20847842499537048L,5,24
new35,21410001903741343L,-1,31
new62,13002833184697240L,0,24
new63,13002833184713880L,0,24
new40,2269996089750431L,-1,31
new42,21410001928917407L,6,31
new49,21402082007377311L,-1,31
new29,21965015738018206L,-1,30
new69,13002833184697208L,0,24
new70,13002833184691096L,0,24
new21,19157962913533596L,17,28
new22,3987482282650524L,-1,28
new30,21711578307782046L,-1,30
new62,20283827135755167L,7,31
new63,12386585371503775L,0,31
new77,19141745401687960L,-1,24
new78,19141513481121688L,-1,24
new70,12386585371479935L,0,31
new74,12386585371479967L,0,31
new83,19141513481383832L,-1,24
new79,12386585371480991L,0,31
new84,19141513473453976L,-1,24
new36,21411411943752798L,44,30
new85,19141745409355672L,-1,24
new86,19141745410159512L,-1,24
new38,21402615582337438L,-1,30
new39,21402615582304670L,-1,30
new40,3942336061854622L,-1,30
new23,12985850908929948L,0,28
new24,12985850917089180L,0,28
new140,9640633506819984L,-1,16
new94,13002833217810328L,0,24
new142,9640599146524560L,62,16
new45,3660861076695934L,5,30
new46,3942336053472926L,-1,30
new100,20566676752569240L,-1,24
new102,20566676776981400L,-1,24
new104,20866810140690072L,-1,24
