名称,状态,最优步数,类型
new-184193397,10698654034273072,32,16
new-1306459104,9097489500991536,36,16
new-184218235,10699376216532368,18,16
new-200708221,10136444760385040,28,16
new-148854203,9642283027435280,39,16
new1989167686,12701689172003600,1,16
new1916977972,21551863565771024,37,16
new1998660099,13019430834160432,1,16
new-218038160,10717001151676816,13,16
new880887261,3686474593183824,2,16
new815885855,12763407464623216,1,16
new1460863622,20867641233797200,30,16
new849359448,3757589612221328,2,16
new883950034,1531372846580304,65,16
new843096632,11401712536284272,58,16
new-150863242,19733591618748752,19,16
new-1253962440,18738283340107824,52,16
new-200791467,3379137042212432,4,16
new-163435468,19282474282880784,45,16
new1630340974,13020426923795344,1,16
new919069282,19562643237495152,54,16
new-1236790434,2422842887787024,33,16
new656826408,637281355199344,74,16
new-157219682,364883906519120,43,16
new924863010,13027944725776720,1,16
new-1257880371,574034007184176,22,16
new-1321131809,722116704038224,60,16
new893659957,4092193360388720,39,16
new-224385448,3731511203357232,5,16
new917569668,10549874307131792,61,16
new880873314,10441856957416048,17,16
new1984449742,170511631542800,53,16
new884091674,405539498889552,67,16
new883056992,354449181414288,55,16
new-267817087,10159866593693552,25,16
new876614122,1293938900463632,72,16
new1881490951,12459176149402480,1,16
new883044122,369533362515088,62,16
new-224136326,21752785057616432,8,16
new353632906,20875405091558160,9,16
new355754758,19819800109150992,26,16
new808673744,20372078691879312,12,16
new1451230858,20550193393059600,46,16
new893593961,18718988006664816,55,16
new808603712,20381699397390736,10,16
new818143592,20706827973010704,53,16
new-1224342391,19706592916458896,29,16
new882991330,12746391879254160,1,16
new-1238354978,18140046750994576,59,16
new825313280,681426119625296,66,16
new-183424700,627386385973328,27,16
new910215970,9158996019268208,65,16
new-164613610,18150291596456080,62,16
new907108380,11323965280899920,2,16
new874603898,12464916481999760,1,16
new893675143,2984899805200944,33,16
new809922512,20417657669833072,15,16
new917836676,10546554033433232,62,16
new809758672,20416883782986864,13,16
new807560789,21475137236763952,4,16
new1979927446,12415463087417488,1,16
new-257724845,21770716780740688,5,16
new-167343356,19161252598669648,17,16
new881143570,3678785581460112,6,16
new-166579252,19186567943970832,22,16
new-1257896232,2835434611558032,12,16
new1881350943,12481931475686224,1,16
new884231046,18403428179276368,66,16
new1996582526,12977828934778992,1,16
new355668742,19809148586455120,49,16
new-149798908,619106500626576,43,16
new642245486,19301935294739312,69,16
new1989440134,2596628788175248,18,16
new-1610157178,20277245101011344,15,16
new1899053776,4046538389136272,4,16
new906185620,12411340784298512,1,16
new808608720,20390177965736592,12,16
new909123730,1261750368469392,28,16
new824521272,4019866886106448,6,16
new872490770,3406615341009808,7,16
new805489360,20270057095497616,12,16
new-217830608,3950572789329488,6,16
new-1303764168,2413187795120912,33,16
new824406304,22035338843490704,4,16
new1921001026,12693871532263984,1,16
new875135864,3476673236099984,2,16
new-467261626,18104661941494064,42,16
new-148795059,9662338874246928,54,16
new906096668,11288772600268624,5,16
new875565324,9113433933426768,65,16
new914453380,11544702172418896,31,16
new-234758112,10160985440579088,24,16
new-184545771,1710352726254992,32,16
new889652774,11850574192227216,4,16
new893424397,9738169774918256,54,16
new1984266894,11427293982905104,33,16
new818111024,20692036548404112,48,16
new1983988254,11409409750076176,34,16
new1462913606,18686521224611856,65,16
new883960386,9397552554256976,59,16
new816005431,21744071348625488,3,16
new893470410,11971577966362768,30,16
new915497732,11602110156964368,1,16
new1946263664,12394926148446096,1,16
new-247893170,10827993044571024,49,16
new1899508240,4073176588501904,7,16
new1915045380,12482773873115920,1,16
new893416023,11971511342679440,16,16
new924991530,645508741349520,67,16
new880873346,10417935755891600,18,16
new875561482,1260685120008848,58,16
new809722208,20407305724285008,56,16
new876614154,1287348273676944,22,16
new642204526,19281125323956560,70,16
new860228447,2956046459364208,55,16
new1964000006,12987234861714320,1,16
new925237877,2885423205991824,6,16
new824197440,13044709597456656,1,16
new-1238167280,18120599371075728,61,16
new-1321776504,9678245763639888,63,16
new555942702,13020708780274448,1,16
new885099242,9450122155797552,66,16
new882199298,12728051658402064,1,16
new-1288686842,9675817009679120,76,16
new1991442830,10549817059336592,64,16
new893414877,4110275693872144,24,16
new-1322892149,22051919066702384,5,16
new1979720060,12413318020024848,1,16
new872780320,11260676383499920,5,16
new1632005635,20971298281514352,30,16
new-148786867,9661755325997456,53,16
new1930015288,3959618182992752,7,16
new818040263,20714843630862704,33,16
new885138296,2691613954302096,53,16
new1982927052,9141169596404304,76,16
new587466598,12956748682749840,1,16
new882133890,3696373170258192,9,16
new-183090872,609785322304016,28,16
new1980777172,12448502620168272,1,16
new916532764,355985002989936,74,16
new1991246290,1540994638301840,67,16
火烧连营,4081716568803184,41,16
new893430285,9739852781300304,55,16
new1988494862,2534154030434064,10,16
new-1591479461,22025977716281456,5,16
new-198040816,18130761037382544,56,16
new1991598982,10521357612360464,47,16
new860228159,2983525090946448,61,16
new389499718,18692075741080464,60,16
new873484482,3432255278313488,8,16
new1979737630,11289562166603856,4,16
new872804869,11287638021268880,2,16
new917582100,405852693549456,76,16
new-1341721842,20267645475901744,10,16
new880895119,11569121587659152,2,16
new916534148,9360272263230288,59,16
new889194115,11850539816601392,2,16
new1980854494,12438537605485136,1,16
new-164429228,19275867988173328,55,16
new884157062,18405027943117456,75,16
new815942878,21753564315889680,3,16
new915620428,12704610980612944,1,16
new916538127,12766489757647120,1,16
new1997873736,12983345609515600,1,16
new914408916,12693375348968752,1,16
new-1332518266,20593981645738896,15,16
new-1254084023,9739484857256016,58,16
new1925734440,450062225109776,51,16
new-164416994,18150299877337680,67,16
new-182973608,2879174571082320,9,16
五将逼宫,9361641229574960,34,16
