名称,状态,最优步数,类型
new27246,18651668850037660L,66,28
new12953,3669690488811420L,9,28
new26162,3396480396207772L,12,28
new65499,21393293422904924L,1,28
new24470,10418526316475292L,-1,28
new73756,1145815528170908L,-1,28
new60062,1146107577558396L,-1,28
new35952,10436177858204060L,59,28
new58703,11277831283713692L,38,28
new58960,11278380997584028L,44,28
new82808,21409762727216732L,5,28
new28575,3469647228199228L,47,28
new78859,18104717209019516L,-1,28
new98322,20341652854695036L,-1,28
new90917,11260812703057052L,36,28
new22674,20586569337738140L,-1,28
new28396,2271198922712220L,51,28
new32477,2270649208841884L,41,28
new69427,1147505052763292L,-1,28
new3238,2308581194219932L,-1,28
new99943,20586569337475996L,-1,28
new5787,2308588441964956L,10,28
new5723,2308588442227100L,11,28
new61086,2262410078219420L,35,28
new26863,21711060545900956L,13,28
new61566,18104682857669788L,-1,28
new73757,1146073226208668L,-1,28
new31617,20866635044893596L,-1,28
new26020,3395381934483036L,3,28
new55143,11278106128065692L,46,28
new60061,1145849879520636L,-1,28
new22320,3395381934745180L,4,28
new66197,21412028305131324L,33,28
new58102,12403937315431580L,0,28
new104731,18651668847940508L,-1,28
new62810,20551685102440860L,-1,28
new32409,2269550747117148L,31,28
new106554,18651668847678364L,-1,28
new20682,2269550747379292L,32,28
new100139,18370193871688604L,59,28
new38291,12386094168163932L,0,28
new27857,2270924053193884L,49,28
new77413,20551685101392284L,-1,28
new27359,3397098837943388L,33,28
new54051,12402564009354844L,0,28
new50996,12402564009616988L,0,28
new26267,3396480387819164L,11,28
new4812,21393568267256988L,1,28
new74286,1145815519782300L,-1,28
new21724,3669166503063452L,5,28
new31930,3469664399417660L,44,28
new60558,1146107585947004L,-1,28
new99965,20586569331446684L,-1,28
new58783,11277831275325084L,37,28
new58965,11278381005972636L,45,28
new63839,18104717217408124L,-1,28
new84779,20341661436241020L,-1,28
new5914,3669166504112028L,6,28
new18748,2543335316746140L,38,28
new28400,2271198931100828L,50,28
new32524,2270649200453276L,42,28
new61789,20305111532442524L,-1,28
new1223,2543335315697564L,37,28
new63713,2308588450615708L,12,28
new26884,21711060537512348L,14,28
new77456,18104682849281180L,-1,28
new15066,3669441380446108L,7,28
new74287,1146073217820060L,-1,28
new3408,3669415611428764L,5,28
new31746,20866635036504988L,-1,28
new61549,20303702783169180L,6,28
new86969,20283862820374172L,-1,28
new101320,18369678475613084L,57,28
new55405,1147505052763260L,-1,28
new55133,11278106119677084L,45,28
new60557,1145849887909244L,-1,28
new30250,3669441381494684L,7,28
new82854,21465903527387452L,41,28
new15841,3415797775746940L,40,28
new20342,21693493316751772L,5,28
new22324,3395381943133788L,5,28
