名称,状态,最优步数,类型
new0,11559853063498620L,54,28
new7,10154703233027228L,-1,28
new8,10154704315157660L,-1,28
new10,1428980012682396L,-1,28
new11,10436179291868316L,-1,28
new13,2869863073476508L,-1,28
new14,2870137951383452L,-1,28
new17,10154704306769052L,-1,28
new19,20839731151842460L,31,28
new20,10154703219133596L,63,28
new22,12985851084664732L,0,28
new25,20839731151835548L,30,28
new27,2870962585103260L,-1,28
new28,2871237463010204L,-1,28
new29,20839731152333980L,34,28
new30,3962227900606300L,-1,28
new31,20839731151868316L,29,28
new33,18035977878071452L,35,28
new36,1710446398934172L,55,28
new37,20320764113201308L,31,28
new38,18035977844517020L,36,28
new40,1428971422813340L,-1,28
new41,3680753989241692L,-1,28
new42,21675043252113820L,6,28
new43,3962228974347868L,-1,28
new44,1428971422747804L,-1,28
new46,11823636784704156L,-1,28
new47,3680753989469788L,-1,28
new48,3962228974340956L,-1,28
new49,1428971422780572L,-1,28
new50,3680753989248604L,-1,28
new51,1710446399491228L,-1,28
new52,3962228965959260L,-1,28
new53,1710446399523996L,-1,28
new54,3962228965952348L,-1,28
new56,3399279029315164L,43,28
new57,11862218928909180L,-1,28
new59,21675259342950812L,-1,28
new60,21675042171326876L,6,28
new61,11823660675453852L,-1,28
new62,3962236213716572L,-1,28
new63,3962236213709660L,-1,28
new64,18669020321780636L,64,28
new66,2262134394802076L,32,28
new67,18669020321754268L,58,28
new69,2262134428363388L,33,28
new70,1427845066904476L,-1,28
new73,12985851085328252L,0,28
new75,12985851085328284L,0,28
new76,18669020321747868L,64,28
new77,20320764079640988L,27,28
new78,2253055907882652L,36,28
new83,2253055941437084L,35,28
new89,20269910576391324L,-1,28
new90,2816454701967772L,-1,28
new92,2588388633727900L,-1,28
new93,2816454710356380L,-1,28
new95,2816461958099868L,-1,28
new96,2588388625339292L,-1,28
new97,2253055874330268L,31,28
new98,2253055874323356L,31,28
new99,2816461949711260L,-1,28
new101,3978652199692188L,-1,28
new102,2253055907910556L,31,28
new103,2589488145322908L,-1,28
new104,3978652199692156L,-1,28
new106,2824810569223836L,36,28
new107,2589488136934300L,-1,28
new108,11823763755164764L,-1,28
new114,1427879427083900L,-1,28
new116,11823762681400188L,38,28
new118,11831982907315100L,-1,28
new119,1427879427084156L,-1,28
new122,2816489061672348L,-1,28
new126,2816489070060956L,-1,28
new127,1427845067345564L,-1,28
new131,1427845067345820L,-1,28
new135,20283894982398876L,-1,28
new139,2253063122153116L,36,28
new141,20283894982136732L,-1,28
new142,20283894982816412L,12,28
new145,3397089166641788L,39,28
new148,11831982997727900L,60,28
new149,2588388725909148L,-1,28
new151,2588388734297756L,-1,28
new156,2589488178811804L,53,28
new157,11831982964167580L,19,28
new159,2253063122178972L,36,28
new160,1708248952836508L,-1,28
new161,1427879426641788L,-1,28
new163,1426773976125852L,-1,28
new164,19144011265352860L,56,28
new165,11313590359820700L,39,28
new167,19144011264871580L,63,28
new168,3680753989470044L,-1,28
new169,20270185454298268L,-1,28
new170,3680753989470012L,-1,28
new171,20270185454298524L,-1,28
new172,21675259342688668L,-1,28
new174,3399279029536604L,44,28
new175,21675259336659356L,6,28
new177,12404210340211612L,0,28
new178,20830937508537500L,39,28
new179,1411105960814492L,34,28
new181,12404210340211580L,0,28
new182,20830937474983068L,40,28
new183,1411105994368860L,31,28
new184,3680753989248860L,-1,28
new185,3962228974348124L,-1,28
new187,3962228965959516L,-1,28
new190,3962236213716828L,-1,28
new191,12404210339770268L,0,28
new194,21675293702394268L,6,28
new195,21675293695316380L,6,28
new197,3962227900606044L,-1,28
new198,2816453628474012L,-1,28
new199,3962227900599132L,-1,28
new200,2816453636862620L,-1,28
new201,2816453602857884L,-1,28
new202,2816453594469276L,-1,28
new206,18034879440219292L,39,28
new207,20284101216064412L,-1,28
new208,3978652468127388L,-1,28
new209,2262135502293628L,32,28
new210,20284101182772124L,-1,28
new211,18034879406664860L,39,28
new212,20284101182509980L,-1,28
new213,20283894982816668L,12,28
new216,1411113208573852L,26,28
new222,3978652468127356L,-1,28
new229,1708181340656028L,-1,28
new232,1426706363945372L,-1,28
new233,1710454988883068L,-1,28
new234,1710454988884092L,-1,28
new235,11260254131153564L,38,28
new237,2816556673852828L,-1,28
new238,11260254097593244L,41,28
new239,2816556682241436L,-1,28
new240,2816563921612188L,50,28
new241,2816563930000796L,50,28
new244,20830834428892060L,-1,28
new245,3469647244740188L,48,28
new246,1710446398956668L,-1,28
new247,1710446398957692L,-1,28
new250,20830834395337628L,-1,28
new251,3469647195720540L,47,28
new252,19157995403187100L,-1,28
new254,3978729751628412L,-1,28
new261,18034845079983004L,40,28
new262,11260254040740764L,33,28
new265,18034845046428572L,40,28
new269,20267987563734172L,-1,28
new267,11260515041698908L,-1,28
new270,11260515041676124L,-1,28
new271,11260538932454492L,-1,28
new272,20267987530179740L,-1,28
new274,20267987530179996L,-1,28
new275,1427879426641052L,-1,28
new279,20830834429072284L,-1,28
new280,12386369053749148L,0,28
new282,1427879426649244L,-1,28
new284,12386359390800764L,0,28
new285,20830834429072028L,-1,28
new286,3387966421233564L,4,28
new287,12386359390800796L,0,28
new289,11260515041708892L,-1,28
new290,11260538932464540L,40,28
new291,20267995885225372L,-1,28
new292,20267995885004188L,-1,28
new294,3961128388978556L,-1,28
new296,10418035943403420L,-1,28
new304,20830937508784284L,39,28
new305,12386346237463388L,0,28
new307,20839733601806492L,38,28
new308,3387967494973340L,4,28
new309,3961094029240220L,-1,28
new310,19144011264862364L,69,28
new311,20830937508522140L,39,28
new312,3387960247215964L,4,28
new315,12386370128219036L,0,28
new317,11260686840367772L,3,28
new318,11260686839671452L,-1,28
new319,20267884484498332L,9,28
new323,11260710730421148L,-1,28
new326,12386359390072732L,0,28
new327,2816521215038364L,-1,28
new328,11832531931138908L,58,28
new331,1427845067345052L,65,28
new332,2816521206649756L,-1,28
new333,20284102289806236L,-1,28
new335,1427845066887836L,-1,28
new336,20284102256513948L,-1,28
new338,20284102256251804L,-1,28
new339,1427845066888092L,-1,28
new341,3679654477614972L,-1,28
new342,3961129462720124L,-1,28
new343,3679654477842044L,-1,28
new344,3679654477620860L,-1,28
new345,3961129462714236L,-1,28
new347,3961129454331516L,-1,28
new348,3961129454325628L,-1,28
new349,3398179517908604L,-1,28
new350,3398179517687420L,-1,28
new351,3398179517681532L,-1,28
new352,12386359390071676L,0,28
new354,12386359390071708L,0,28
new355,3961136702088828L,-1,28
new356,3961136702082940L,-1,28
new357,20830937474961820L,37,28
new360,11313590359842908L,-1,28
new361,20830937475223964L,37,28
new363,20839733568246172L,36,28
new364,2573564612469564L,37,28
new365,10154704307488892L,42,28
new368,12386084512910204L,0,28
new369,12386084512910236L,0,28
new370,2573571860226940L,39,28
new372,12386634235161500L,0,28
new373,10154703233050748L,43,28
new374,12386094176366492L,0,28
new376,12386634235161468L,0,28
new377,11260813810353244L,-1,28
new378,20267712652264604L,-1,28
new379,11260813810132060L,-1,28
new380,20267712652043420L,-1,28
new382,20267712652022684L,36,28
new384,1428978938726524L,-1,28
new385,11260812736611420L,-1,28
new386,1707974108982428L,-1,28
new387,1428980012696700L,-1,28
new388,11260812736367484L,43,28
new389,1428978938734716L,-1,28
new390,1428980012468348L,-1,28
new391,11260811662625628L,43,28
new392,11260811662625660L,43,28
new393,1710454989179004L,-1,28
new394,1707974074930076L,-1,28
new395,1707974108392604L,20,28
new397,12386095250328476L,0,28
new399,12386071359572828L,0,28
new401,1428980012697724L,-1,28
new403,11559304112990876L,59,28
new404,3959419320232828L,13,28
new406,20830834395329180L,-1,28
new408,12386084512690076L,0,28
new409,1428978938767484L,-1,28
new410,20267892805620636L,-1,28
new411,12386634234687388L,0,28
new412,3468556020803196L,-1,28
new414,2573570778098556L,30,28
new415,3468556020797308L,-1,28
new416,20267892806005404L,10,28
new417,20830834395329436L,-1,28
new419,11559304079430556L,20,28
new420,2573570786487164L,30,28
new422,2306315666350492L,-1,28
new424,3961095102981788L,-1,28
new425,3679620118103708L,-1,28
new426,3679620117882524L,-1,28
new427,2306315674739100L,-1,28
new429,3961095094593180L,-1,28
new431,3398145158170268L,-1,28
new434,3398145157949084L,-1,28
new435,3398145157944220L,5,28
new436,2816555608755612L,53,28
new437,3961102342350492L,-1,28
new439,2816555566624156L,-1,28
new441,12386084512689020L,0,28
new443,18034845046420124L,40,28
new445,12386084512689052L,0,28
new446,2833588132081564L,-1,28
new447,2816555575012764L,-1,28
new449,3468555997466492L,-1,28
new451,18034845046420380L,40,28
new453,2833588098527132L,-1,28
new454,2833862976434076L,-1,28
new455,20320764113215644L,-1,28
new456,11823763755141532L,43,28
new457,19157995403186588L,-1,28
new458,19157995402441628L,-1,28
new459,20320764079661212L,-1,28
new460,11823763755403676L,43,28
new461,11550507897024156L,-1,28
new463,11550507897017244L,-1,28
new464,20267995885233564L,-1,28
new466,3679654477842300L,-1,28
new467,11823762680933788L,58,28
new468,3679654477842236L,-1,28
new469,12404218929442716L,0,28
new470,11823762681399708L,43,28
new473,3398179517908860L,-1,28
new475,11260515041690716L,-1,28
new476,20267987563725980L,-1,28
new477,11260515041469532L,-1,28
new478,20267987563504796L,-1,28
new479,11260515041446748L,-1,28
new480,11550507930604444L,-1,28
new481,11260538932446300L,-1,28
new482,20267987530171548L,-1,28
new483,11260538932225116L,-1,28
new484,20267987529950364L,-1,28
new486,20267987530171804L,-1,28
new487,11550507897050012L,-1,28
new488,20267987529950620L,-1,28
new489,11260537858704476L,-1,28
new491,3679654477621116L,-1,28
new493,3961129462720380L,-1,28
new494,10418010945351580L,-1,28
